Order ID,Order Date,Product,Category,Region,Quantity,Sales,Profit
1,2025-03-04,Mouse,Accessories,South,2,2639,655.29
2,2025-05-20,Phone,Electronics,North,2,45348,11252.36
3,2025-02-25,Monitor,Electronics,South,7,3082,326.57
4,2025-06-16,Monitor,Electronics,West,10,2739,581.35
5,2025-01-02,Phone,Electronics,South,8,39618,6166.07
6,2025-02-25,Mouse,Accessories,East,7,23298,3624.57
7,2025-03-30,Laptop,Electronics,East,2,25898,3090.75
8,2025-04-07,Laptop,Electronics,North,8,36142,4516.49
9,2025-04-03,Monitor,Electronics,South,5,42198,9439.86
10,2025-03-16,Mouse,Accessories,North,2,4003,929.71
11,2025-06-12,Phone,Electronics,East,2,25911,4031.61
12,2025-03-10,Phone,Electronics,North,6,24283,3445.79
13,2025-02-11,Monitor,Electronics,West,3,36005,8850.94
14,2025-02-26,Keyboard,Accessories,East,5,42943,10204.65
15,2025-04-13,Laptop,Electronics,East,4,3103,809.91
16,2025-03-22,Laptop,Electronics,South,4,38170,10507.19
17,2025-06-14,Mouse,Accessories,West,8,26928,7457.35
18,2025-05-24,Phone,Electronics,East,5,10150,1515.65
19,2025-04-13,Mouse,Accessories,East,10,29077,8128.9
20,2025-01-13,Phone,Electronics,North,3,34392,6833.8
21,2025-01-17,Phone,Electronics,West,3,45596,8409.36
22,2025-05-22,Keyboard,Accessories,North,10,31674,6519.23
23,2025-03-10,Mouse,Accessories,East,2,45676,12650.32
24,2025-01-01,Laptop,Electronics,East,5,29492,3882.08
25,2025-06-10,Monitor,Electronics,East,3,34271,9682.43
26,2025-04-06,Mouse,Accessories,South,9,40909,5718.35
27,2025-05-06,Monitor,Electronics,North,9,1037,227.92
28,2025-03-03,Laptop,Electronics,North,6,21153,3128.33
29,2025-05-17,Laptop,Electronics,South,8,5535,1636.13
30,2025-05-16,Phone,Electronics,West,8,37031,4926.06
31,2025-03-21,Phone,Electronics,West,9,48836,11621.68
32,2025-04-26,Mouse,Accessories,North,6,29711,8316.79
33,2025-05-31,Phone,Electronics,South,4,5196,870.94
34,2025-06-11,Monitor,Electronics,North,4,1471,167.99
35,2025-01-19,Phone,Electronics,South,2,3058,831.55
36,2025-05-27,Headphones,Accessories,West,8,15040,3126.02
37,2025-01-25,Phone,Electronics,West,8,27677,3821.7
38,2025-01-14,Headphones,Accessories,North,7,27941,5403.93
39,2025-01-28,Laptop,Electronics,South,7,48724,8178.84
40,2025-04-19,Phone,Electronics,South,4,36146,6857.72
41,2025-01-20,Headphones,Accessories,West,8,17371,4775.24
42,2025-05-19,Monitor,Electronics,North,2,4315,994.3
43,2025-05-04,Laptop,Electronics,South,4,11899,2157.08
44,2025-04-10,Keyboard,Accessories,East,1,11789,2072.44
45,2025-05-23,Keyboard,Accessories,West,5,28722,6873.7
46,2025-01-15,Phone,Electronics,North,4,20445,2934.68
47,2025-05-03,Mouse,Accessories,South,6,4746,522.2
48,2025-01-18,Laptop,Electronics,North,9,6250,1689.18
49,2025-05-26,Mouse,Accessories,South,4,27461,3404.54
50,2025-04-18,Monitor,Electronics,East,10,3604,806.85
51,2025-03-03,Headphones,Accessories,East,4,44891,10919.21
52,2025-04-28,Keyboard,Accessories,East,3,45019,10313.86
53,2025-05-25,Laptop,Electronics,North,1,31034,6958.81
54,2025-02-03,Laptop,Electronics,East,9,14969,3011.42
55,2025-04-23,Laptop,Electronics,East,4,25217,3959.01
56,2025-05-22,Monitor,Electronics,East,9,1512,353.16
57,2025-01-28,Mouse,Accessories,South,2,9800,1498.35
58,2025-03-29,Headphones,Accessories,South,5,40638,5775.71
59,2025-01-14,Mouse,Accessories,North,5,34122,6746.14
60,2025-03-27,Mouse,Accessories,South,7,19132,2081.89
61,2025-05-22,Mouse,Accessories,West,5,11589,2876.92
62,2025-06-26,Monitor,Electronics,South,1,8331,958.47
63,2025-02-07,Monitor,Electronics,West,1,25196,5454.98
64,2025-01-11,Phone,Electronics,East,1,21202,3666.47
65,2025-05-24,Phone,Electronics,West,4,44708,5389.94
66,2025-02-15,Monitor,Electronics,West,3,16514,4507.02
67,2025-04-16,Laptop,Electronics,South,3,49271,14037.18
68,2025-01-10,Headphones,Accessories,West,3,46958,5710.99
69,2025-02-28,Phone,Electronics,South,4,31166,5296.09
70,2025-01-18,Laptop,Electronics,East,4,27113,4491.33
71,2025-05-18,Headphones,Accessories,East,9,27193,6414.93
72,2025-03-09,Laptop,Electronics,North,2,18118,2458.86
73,2025-03-22,Laptop,Electronics,West,10,29479,4986.0
74,2025-05-28,Monitor,Electronics,South,9,8578,1518.64
75,2025-05-14,Headphones,Accessories,South,1,47450,8883.19
